Straight,EP,USP,Knot security,Diameter,Tie-down,Fast Avg,Fast Min,Moisture
13.03,8.35,7.41,6.69,0.490,1.08,5.45,4.85,20
,8.09,,6.22,0.491,,5.94,5.71,46
,8.13,,6.91,0.482,,5.85,5.59,55
,8.39,,6.81,0.487,,5.83,5.67,61
,8.04,,6.45,0.484,,6.02,5.91,
,8.22,,6.71,0.490,,6.06,5.75,
12.84,7.91,6.70,6.75,0.483,1.16,5.79,5.57,59
,8.02,,6.86,0.491,,6.03,5.75,99
,7.90,,6.83,0.482,,5.92,5.60,
,8.03,,6.58,0.489,,5.92,5.60,
,8.33,,6.54,0.473,,6.58,6.34,
13.35,8.06,6.98,6.52,0.484,0.92,5.76,5.31,100
,8.08,,6.19,0.486,,6.40,6.14,97
,8.27,,5.74,0.486,,6.17,5.99,140
,8.12,,6.65,0.487,,6.15,5.71,
,7.85,,6.87,0.477,,5.96,5.68,
,8.22,,6.78,0.479,,6.11,5.82,
13.24,8.07,7.07,6.60,0.487,0.83,5.80,4.66,59
,8.07,,6.78,0.483,,6.04,5.90,67
,8.22,,6.58,0.481,,6.15,5.71,82
,8.27,,5.43,0.488,,5.99,5.88,
,7.97,,6.51,0.478,,6.29,5.84,
,7.90,,6.59,0.474,,6.08,5.78,
14.14,8.05,8.07,7.10,0.489,0.98,6.24,5.91,88
,8.23,,7.48,0.495,,5.97,5.75,112
,7.91,,6.81,0.486,,5.26,5.04,156
,8.35,,6.66,0.493,,6.68,6.45,
,8.30,,6.94,0.492,,6.10,5.76,
,7.99,,6.38,0.487,,6.31,6.06,
12.70,8.12,6.50,6.90,0.492,0.97,6.26,6.04,48
,8.19,,6.17,0.486,,5.42,4.53,83
,8.19,,6.58,0.484,,6.35,6.22,51
,7.85,,6.79,0.489,,6.31,6.09,72
,7.98,,7.53,0.494,,6.08,5.88,
,8.23,,6.08,0.486,,6.18,5.83,
13.55,8.30,7.06,6.56,0.493,0.66,6.37,5.80,68
,8.10,,6.61,0.490,,6.04,5.80,105
,7.97,,6.06,0.489,,6.57,6.25,107
,8.03,,6.58,0.484,,6.16,5.93,84
,7.93,,7.09,0.481,,6.04,5.53,
,7.93,,6.66,0.483,,6.14,5.80,
13.10,8.16,7.43,6.85,0.494,0.81,6.05,5.96,101
,8.14,,7.16,0.492,,6.34,6.07,67
,8.14,,6.70,0.491,,6.24,5.99,68
,8.17,,6.84,0.491,,5.99,5.76,
,7.92,,7.20,0.494,,6.02,5.88,
,7.88,,6.32,0.492,,6.12,5.90,
,8.23,,6.44,0.493,,6.23,5.94,
12.65,7.82,7.23,6.54,0.491,1.10,6.03,5.86,45
,8.04,,6.39,0.490,,5.76,5.64,42
,8.02,,6.55,0.489,,5.64,5.04,54
,7.88,,7.11,0.483,,5.89,5.57,
13.42,7.92,7.29,6.66,0.484,0.98,5.64,5.47,84
,8.43,,6.64,0.496,,5.96,5.76,101
,8.09,,7.18,0.482,,6.04,5.91,89
,8.44,,7.19,0.492,,5.95,5.50,
,8.17,,7.11,0.486,,5.74,5.31,
,8.14,,6.79,0.488,,6.15,5.92,
13.89,8.48,7.55,6.40,0.488,0.83,5.72,5.42,72
,8.34,,6.55,0.498,,6.32,6.12,
13.16,7.81,6.96,6.67,0.484,2.06,5.87,5.66,85
,8.44,,7.09,0.491,,6.23,5.86,135
,8.01,,6.71,0.479,,5.89,5.64,
,8.09,,6.50,0.477,,5.98,5.69,
,8.16,,6.30,0.484,,6.10,5.86,
,8.22,,6.42,0.491,,6.04,5.90,
12.96,8.22,7.30,6.97,0.494,0.66,6.15,5.62,59
,8.06,,6.82,0.484,,6.04,5.65,64
,7.92,,5.90,0.484,,5.59,5.29,60
,8.03,,6.39,0.486,,6.27,5.77,50
,7.82,,6.48,0.483,,5.82,5.60,
13.80,8.05,7.15,6.72,0.492,0.86,6.29,5.98,44
,8.04,,6.63,0.482,,6.12,5.90,114
,8.34,,6.32,0.491,,5.66,5.46,
,8.28,,6.06,0.489,,5.99,5.79,
,8.01,,6.82,0.486,,5.98,5.54,
13.39,8.26,7.27,7.22,0.490,0.58,6.25,6.09,96
,8.31,,6.26,0.494,,6.23,5.84,98
,8.23,,6.13,0.490,,5.99,8.23,
,8.02,,6.71,0.483,,5.82,5.42,
,8.04,,6.65,0.485,,5.95,5.82,
,8.28,,6.27,0.490,,6.21,6.01,
12.76,7.80,7.06,6.83,0.477,0.76,5.63,5.51,47
,7.95,,6.72,0.476,,5.92,5.78,63
,8.33,,6.71,0.492,,5.74,5.62,
,7.81,,6.28,0.492,,5.65,5.53,
,8.06,,6.49,0.489,,6.14,5.60,
12.98,8.29,7.01,6.39,0.491,0.56,5.38,5.12,98
,7.84,,6.87,0.482,,5.76,5.63,
12.15,7.85,7.42,6.71,0.495,0.77,5.97,5.73,95
,7.73,,6.63,0.487,,5.99,5.76,114
,7.89,,6.13,0.490,,5.98,5.81,
,7.87,,6.79,0.494,,6.03,5.70,
,8.10,,6.35,0.492,,5.96,5.86,
,8.12,,6.41,0.492,,5.89,5.42,
13.02,7.83,7.42,6.35,0.484,0.83,5.80,5.53,37
,7.92,,6.90,0.484,,6.07,5.66,116
,7.76,,6.38,0.491,,5.87,5.71,106
,7.95,,6.27,0.498,,5.69,5.36,
,7.93,,6.83,0.486,,5.98,5.65,
,7.77,,6.82,0.493,,5.92,5.79,
12.54,7.91,7.18,6.79,0.478,0.72,5.86,5.69,84
,8.16,,6.43,0.486,,5.84,5.68,93
,8.24,,6.55,0.488,,5.78,5.51,80
,7.99,,6.39,0.480,,5.97,5.74,
,8.08,,6.20,0.483,,6.12,5.94,
,7.74,,6.23,0.483,,6.06,5.93,
,8.30,,6.52,0.483,,5.82,5.72,
13.11,7.89,6.62,6.19,0.488,1.10,5.50,5.10,71
,8.02,,6.12,0.486,,5.82,5.47,89
,8.02,,6.41,0.483,,6.35,5.76,99
,8.14,,6.24,0.486,,6.26,5.90,
,7.80,,6.34,0.481,,6.09,5.76,
,8.19,,6.43,0.486,,6.09,5.60,
13.44,7.91,7.18,6.75,0.486,0.91,6.11,6.02,64
,8.03,,6.45,0.483,,5.94,5.67,85
,7.93,,6.39,0.480,,5.79,5.61,55
,8.27,,6.80,0.492,,5.57,5.35,
,8.06,,6.42,0.486,,5.96,5.83,
,7.85,,6.37,0.485,,5.93,5.74,
,7.97,,6.08,0.490,,6.20,5.95,
12.44,7.96,7.30,6.69,0.489,0.89,6.14,5.83,117
,8.31,,6.52,0.486,,5.89,5.54,106
,7.94,,6.56,0.493,,5.94,5.58,128
,7.74,,6.02,0.485,,5.96,5.62,
,8.17,,6.54,0.491,,5.92,5.44,
13.14,8.15,7.03,6.59,0.486,1.40,6.06,5.76,98
,8.04,,6.58,0.485,,6.06,5.91,100
,8.01,,6.58,0.493,,5.91,5.68,168
,8.35,,6.68,0.492,,6.19,5.63,
,8.20,,6.66,0.482,,6.10,5.90,
,7.88,,6.43,0.484,,5.77,5.64,
13.40,7.98,7.20,6.50,0.487,0.88,5.76,5.30,63
,7.96,,6.97,0.490,,5.96,5.77,32
,7.85,,7.12,0.472,,6.06,5.76,43
,8.15,,6.51,0.485,,5.91,5.68,
,7.87,,7.18,0.478,,5.92,5.82,
13.41,8.12,6.88,6.90,0.485,0.90,6.06,5.69,70
,8.18,,6.39,0.487,,5.92,5.71,65
,7.87,,6.75,0.495,,6.01,5.81,
12.45,8.06,7.22,6.82,0.486,1.25,5.80,5.64,38
,8.10,,6.87,0.491,,5.73,5.50,60
,8.08,,6.31,0.494,,5.85,5.66,43
,8.04,,6.87,0.497,,5.90,5.46,
,7.88,,6.98,0.491,,6.00,5.77,
13.23,8.30,7.64,6.65,0.494,0.92,6.17,5.49,50
,8.09,,6.92,0.479,,5.88,5.66,148
,7.73,,6.61,0.489,,6.00,5.47,87
,7.89,,6.73,0.484,,5.88,5.62,138
,8.04,,6.48,0.487,,6.06,5.66,
,8.16,,6.41,0.485,,5.94,5.58,
13.31,8.34,7.35,7.03,0.487,1.12,6.33,6.11,22
,8.35,,7.01,0.492,,6.43,6.01,
12.85,8.04,7.32,6.31,0.491,0.68,5.86,5.72,57
,8.03,,6.41,0.489,,6.08,5.64,59
,7.94,,6.31,0.479,,5.85,5.71,43
,8.01,,6.40,0.479,,6.22,5.91,
,8.24,,5.97,0.493,,6.13,5.97,
,8.22,,6.61,0.487,,6.32,6.04,
12.60,8.00,7.13,6.47,0.484,0.79,5.59,5.35,81
,7.90,,6.68,0.487,,6.18,5.98,98
,7.98,,7.07,0.480,,5.94,5.58,
,8.18,,6.67,0.483,,5.84,5.54,
,8.13,,7.01,0.491,,6.14,5.70,
,8.22,,6.72,0.482,,5.88,5.62,
12.73,8.17,6.78,7.20,0.492,0.69,6.26,6.00,89
,8.22,,6.88,0.495,,5.88,5.55,113
,7.69,,6.67,0.479,,5.91,5.87,
,7.94,,6.83,0.486,,5.79,5.52,
13.55,8.48,7.37,7.05,0.490,0.85,5.70,5.04,33
,8.09,,7.26,0.483,,6.32,5.94,54
,8.42,,7.05,0.486,,5.73,5.10,51
,8.45,,6.80,0.486,,6.27,5.91,
,8.10,,7.29,0.483,,6.80,5.99,
13.29,8.17,6.96,6.51,0.497,0.77,5.73,5.50,58
,8.46,,7.31,0.491,,5.83,5.57,39
,8.28,,6.95,0.490,,6.02,5.71,59
,7.96,,6.52,0.484,,5.85,5.42,85
,8.49,,6.45,0.485,,6.41,6.16,
,8.46,,6.59,0.486,,5.88,5.57,
13.78,8.18,7.21,6.93,0.479,0.75,6.19,6.06,61
,8.18,,6.97,0.491,,5.93,5.77,67
,8.09,,6.45,0.485,,5.94,5.64,
,8.25,,6.98,0.479,,6.14,5.96,
,8.07,,6.42,0.478,,6.25,5.90,
13.55,8.34,7.32,6.47,0.479,1.09,6.16,5.67,217
,8.28,,7.01,0.486,,5.99,5.75,26
,8.34,,6.50,0.485,,5.72,5.47,26
,8.16,,6.23,0.481,,5.64,5.49,27
,8.10,,6.76,0.485,,5.97,5.65,
,8.04,,6.83,0.483,,5.54,5.27,
,8.19,,6.29,0.473,,5.84,5.58,
13.02,8.09,7.16,6.59,0.485,0.87,5.53,5.33,56
,8.37,,6.98,0.486,,5.74,5.68,51
,8.37,,6.45,0.481,,5.63,5.52,
,8.21,,7.20,0.485,,5.42,5.32,
,8.37,,6.53,0.489,,5.96,5.83,
13.89,8.36,7.29,6.94,0.491,1.02,6.04,5.88,53
,8.53,,6.68,0.492,,6.40,5.87,43
,8.49,,6.89,0.494,,6.32,6.12,
,8.42,,7.00,0.490,,5.97,5.83,
,8.49,,7.43,0.488,,5.83,5.54,
13.60,8.71,7.28,7.16,0.486,0.75,6.16,5.78,46
,8.46,,6.62,0.484,,6.22,6.06,49
,8.25,,7.26,0.482,,6.01,5.84,78
,8.45,,6.85,0.492,,5.91,5.74,
,8.52,,6.54,0.495,,5.88,5.72,
,8.30,,6.68,0.496,,5.97,5.71,
13.96,8.37,7.57,6.52,0.498,0.97,5.57,5.23,65
,8.20,,6.69,0.483,,5.61,5.37,149
,8.32,,6.79,0.487,,5.78,5.54,52
,8.26,,6.19,0.486,,5.81,5.57,
,8.35,,6.03,0.492,,5.88,5.78,
13.95,8.24,7.42,6.53,0.489,0.87,6.03,5.63,219
