Lot NO,Melt No,Melt Denier,Melt g/den,Melt (%),Melt (gf),Melt Weight(g),Melt temp,Pack Press (psi),"1 G/R Speed
(mpm)","Batch
No.","Spool
No.",Coating Straight,"Coating
EP","Coating
USP","Coating
Knot security","Coating
Diameter","Coating
Tie-down",Fast 1W Avg,Fast 1W Min ,Fast 1W %,Moisture
TSSR12201G001,1,90.5,8.136,30.36,737,"1,143",261.1,"1,010",420,1st,26,13.89,8.48,7.55,6.4,0.488,0.83,5.72,5.42,67%,72
,2,90.5,8.13,33.27,735,"1,154",261.1,"1,020",420,2nd,37,,8.34,,6.55,0.498,,6.32,6.12,76%,
,3,91,8.366,31.52,762,"1,151",261.1,"1,027",420,,,,,,,,,,,,
,4,91,7.729,30.49,704,"1,151",261.1,"1,025",420,,,,,,,,,,,,
,5,91,7.982,31.99,727,"1,154",261.1,"1,040",420,,,,,,,,,,,,
,6,90.6,8.317,31.71,753,"1,149",261.2,"1,036",420,,,,,,,,,,,,
,7,90.2,7.743,31.87,698,"1,150",261.1,"1,033",420,,,,,,,,,,,,
,8,90.6,8.06,28.87,730,"1,153",260.4,"1,033",420,,,,,,,,,,,,
TSSR12201V001,1,91,7.726,33.73,703,"1,346",260,"1,087",495,1st,18,13.03,8.35,7.41,6.69,0.49,1.08,5.45,4.85,65%,20
,2,90,7.766,33.66,699,"1,342",259.9,"1,094",495,2nd,50,,8.09,,6.22,0.491,,5.94,5.71,73%,46
,3,90.3,7.879,31.27,712,"1,335",259.9,"1,107",495,3rd-1,60,,8.13,,6.91,0.482,,5.85,5.59,72%,55
,4,90.5,7.582,33.29,687,"1,066",259.9,"1,108",495,3rd-2,74,,8.39,,6.81,0.487,,5.83,5.67,69%,61
,5,90.5,7.635,33.3,691,"1,335",260,"1,109",495,4th,98,,8.04,,6.45,0.484,,6.02,5.91,75%,
,6,90.5,8.287,31.66,750,"1,348",260.4,"1,108",490,5th,126,,8.22,,6.71,0.49,,6.06,5.75,74%,
,7,90,7.898,32.5,711,"1,327",260.9,"1,107",490,,,,,,,,,,,,
,8,91.5,8.625,35.42,789,"1,331",260.9,"1,109",490,,,,,,,,,,,,
,9,90,8.462,32.88,762,"1,339",260.9,"1,107",490,,,,,,,,,,,,
,10,91,7.843,34.54,714,"1,346",260.9,"1,108",490,,,,,,,,,,,,
,11,91,7.727,34.76,703,"1,344",261,"1,110",490,,,,,,,,,,,,
,12,91,8.014,31.05,729,"1,338",261,"1,117",480,,,,,,,,,,,,
,13,91,7.932,35.29,722,"1,347",261,"1,115",480,,,,,,,,,,,,
,14,91,8.477,30.2,771,"1,349",261,"1,114",480,,,,,,,,,,,,
,15,90.5,7.979,32.87,722,"1,342",261,"1,120",480,,,,,,,,,,,,
,16,91.5,7.857,35.44,719,"1,343",261,"1,115",480,,,,,,,,,,,,
,17,90.5,8.06,34.39,729,"1,348",261,"1,114",480,,,,,,,,,,,,
,18,90.2,7.722,34.02,697,"1,344",261,"1,117",480,,,,,,,,,,,,
,19,90.5,7.736,34.17,700,"1,344",261,"1,117",480,,,,,,,,,,,,
,20,90.3,7.74,34.5,699,"1,341",261,"1,114",480,,,,,,,,,,,,
,21,90,8.006,35.66,720,"1,348",261,"1,121",480,,,,,,,,,,,,
,22,91.8,8.254,36.01,758,"1,351",260.9,"1,132",480,,,,,,,,,,,,
,23,91,8.07,34.39,734,"1,345",260.6,"1,140",480,,,,,,,,,,,,
TSSR12201V002,1,90.5,8.477,28.35,767,"1,347",260.8,"1,152",480,1st,18,12.84,7.91,6.7,6.75,0.483,1.16,5.79,5.57,73%,59
,2,91,7.682,34.28,699,"1,348",260.5,"1,150",485,2nd-1,40,,8.02,,6.86,0.491,,6.03,5.75,75%,99
,3,91,7.686,33.68,699,"1,359",260.9,"1,151",485,2nd-2,50,,7.9,,6.83,0.482,,5.92,5.6,75%,
,4,91,7.899,32.66,719,"1,350",260.9,"1,154",485,3rd,82,,8.03,,6.58,0.489,,5.92,5.6,74%,
,5,90.6,8.048,27.7,729,"1,347",260.9,"1,151",485,4th,94,,8.33,,6.54,0.473,,6.58,6.34,79%,
,6,90.5,8.298,27.45,751,"1,348",260.9,"1,154",485,,,,,,,,,,,,
,7,91,7.934,34.51,722,"1,351",260.9,"1,156",485,,,,,,,,,,,,
,8,91.5,8.907,28.22,815,"1,342",260.8,"1,153",485,,,,,,,,,,,,
,9,90.8,7.946,34.44,721,"1,341",261,"1,144",485,,,,,,,,,,,,
,10,91,7.694,35.05,701,"1,343",261,"1,142",485,,,,,,,,,,,,
,11,92,7.607,34.6,699,"1,348",261,"1,145",485,,,,,,,,,,,,
,12,92,7.979,35.22,734,"1,352",261,"1,144",485,,,,,,,,,,,,
,13,92,7.982,34.49,734,"1,351",261,"1,140",485,,,,,,,,,,,,
,14,91.5,7.751,34.23,709,"1,371",261,"1,134",485,,,,,,,,,,,,
,15,90.3,7.708,31.99,696,"1,348",261,"1,137",485,,,,,,,,,,,,
,16,90.7,7.58,35,688,"1,350",261,"1,135",485,,,,,,,,,,,,
,17,91,7.925,36.62,721,"1,350",261,"1,145",485,,,,,,,,,,,,
,18,91.5,7.721,36.78,706,"1,347",261.1,"1,131",485,,,,,,,,,,,,
,19,90,7.992,36.69,720,"1,343",261.1,"1,138",485,,,,,,,,,,,,
TSSR12201V003,1,90,8,32.61,720,554,260.9,"1,013",465,1st,26,13.35,8.06,6.98,6.52,0.484,0.92,5.76,5.31,71%,100
,2,90,8.017,32,722,"1,317",260.7,"1,022",465,2nd-1,36,,8.08,,6.19,0.486,,6.4,6.14,79%,97
,3,90.5,7.863,31.04,712,"1,335",260.8,"1,048",465,2nd-2,64,,8.27,,5.74,0.486,,6.17,5.99,75%,140
